creation_id,compound_name,printed_name,mg,conc,vol,len_before,len_after
PBVita-Lab-219,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5772,6584
PBVita-Lab-054,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5659,6401
PBVita-Lab-114,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5996,6769
PBVita-Lab-351,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5846,6619
PBVita-Lab-250,TB-500,TB-500,10mg,1 mg/ml,10ml,5813,6585
PBVita-Lab-235,SS-31,SS-31,10mg,1 mg/ml,10ml,5745,6516
PBVita-Lab-015,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5863,6637
PBVita-Lab-409,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5940,6712
PBVita-Lab-375,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5730,6502
PBVita-Lab-079,NAD+,NAD+,1000mg,100 mg/ml,10ml,5603,6337
PBVita-Lab-139,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5987,6763
PBVita-Lab-055,Selank,Selank,10mg,1 mg/ml,10ml,5868,6640
PBVita-Lab-116,TA-1,TA-1,10mg,1 mg/ml,10ml,5808,6578
PBVita-Lab-352,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5823,6600
PBVita-Lab-461,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5886,6662
PBVita-Lab-211,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5866,6662
PBVita-Lab-016,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5856,6652
PBVita-Lab-410,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5683,6451
PBVita-Lab-431,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5904,6695
PBVita-Lab-080,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5863,6636
PBVita-Lab-499,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5837,6610
PBVita-Lab-056,TB-500,TB-500,10mg,1 mg/ml,10ml,5744,6516
PBVita-Lab-117,SS-31,SS-31,10mg,1 mg/ml,10ml,5651,6422
PBVita-Lab-354,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5885,6659
PBVita-Lab-463,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5822,6594
PBVita-Lab-187,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,4054,4771
PBVita-Lab-018,NAD+,NAD+,1000mg,100 mg/ml,10ml,5938,6716
PBVita-Lab-147,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5878,6654
PBVita-Lab-456,Selank,Selank,10mg,1 mg/ml,10ml,5824,6596
PBVita-Lab-081,TA-1,TA-1,10mg,1 mg/ml,10ml,5864,6634
PBVita-Lab-195,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,4110,4822
PBVita-Lab-057,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5900,6676
PBVita-Lab-118,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,4240,4965
PBVita-Lab-355,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5700,6452
PBVita-Lab-465,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5849,6661
PBVita-Lab-212,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5860,6651
PBVita-Lab-019,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5804,6577
PBVita-Lab-148,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5886,6659
PBVita-Lab-432,TB-500,TB-500,10mg,1 mg/ml,10ml,5926,6698
PBVita-Lab-082,SS-31,SS-31,10mg,1 mg/ml,10ml,6032,6803
PBVita-Lab-220,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5911,6685
PBVita-Lab-058,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5753,6479
PBVita-Lab-120,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5920,6692
PBVita-Lab-356,NAD+,NAD+,1000mg,100 mg/ml,10ml,5966,6744
PBVita-Lab-466,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5821,6597
PBVita-Lab-107,Selank,Selank,10mg,1 mg/ml,10ml,5642,6414
PBVita-Lab-020,TA-1,TA-1,10mg,1 mg/ml,10ml,5979,6749
PBVita-Lab-149,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5877,6654
